traits	host	country
IOCL2499-Lb-2002	Lb	Brazil
IOCL3539-Lg-2014	Lx	Brazil
IOCL3656-Lg-2017	Lg	Brazil
IOCL3643-Lg-2014	Lg	Brazil
IOCL3639-Lb-2015	Lb	Brazil
IOCL3637-Lb-2015	Lb	Brazil
IOCL3623-Lg-2016	Lg	Brazil
IOCL3622-Lb-2015	Lb	Brazil
IOCL3621-Lb-2015	Lb	Brazil
IOCL3574-Ln-2015	Lg	Brazil
IOCl3569-Lb-2014	Lb	Brazil
IOCL3548-Lb-2014	Lb	Brazil
IOCL3545-Lb-2014	Lb	Brazil
IOCL3531-Ln-2013	Ln	Brazil
IOCL3520-Ln-2013	Ln	Brazil
IOCL3519-Ln-2013	Ln	Brazil
IOCL3517-Ln-2013	Ln	Brazil
IOCL3516-Ln-2013	Ln	Brazil
IOCL3503-Lg-2013	Lg	Brazil
IOCL3486-Lg-2013	Lg	Brazil
IOCL3473-Lb-2012	Lb	Brazil
IOCL3466-Lg-2013	Lg	Brazil
IOCL3461-Lg-2013	Lg	Brazil
IOCL3371-Lg-2011	Lg	Brazil
IOCL3357-Lg-2011	Lg	Brazil
IOCL3312-Lg-2010	Lg	Brazil
IOCL3305-Lg-2011	Lg	Brazil
IOCL2495-Lb-2002	Lb	Brazil
IOCL2494-Lb-2002	Lb	Brazil
IOCL2492-Lg-2002	Lg	Brazil
IOCL2966-Lg-2007	Lg	Brazil
IOCL2957-Lg-2007	Lg	Brazil
IOCL2407-Lg-1997	Lg	Brazil
IOCL2391-Lg-1997	Lg	Brazil
IOCL2371-Lg-1997	Lg	Brazil
IOCL2116-Lg-1996	Lg	Brazil
IOCL2095-Lg-1995	Lg	Brazil
IOCL2057-Lg-1995	Lg	Brazil
IOCL1793-Lg-1991	Lg	Venezuela
IOCL1594-Lsh-1990	Ls	Brazil
OQ673093.1	Lb	Peru
IOCL0854_Ln-1985	Ln	Brazil
013-2023-Lb-2018	Lb	Brazil
KU724434.1	Lg	Brazil
KY750607.1	Lg	Brazil
KU724433.1	Lg	Brazil
OQ673098.1	Lb	Peru
OQ673097.1	Lb	Peru
OQ673099.1	Lb	Peru
OQ673088.1	Lb	Peru
OQ673087.1	Lb	Bolivia
OQ673086.1	Lb	Bolivia
KX808486.1	Lb	Bolivia
OQ673090.1	Lb	Peru
OQ673096.1	Lb	Peru
OQ673095.1	Lb	Peru
KX808484.1	Lb	Bolivia
OQ673094.1	Lb	Peru
OQ673092.1	Lb	Peru
OQ673091.1	Lb	Peru
KX808483.1	Lb	Bolivia
OQ673085.1	Lb	Peru
OQ673084.1	Lb	Peru
OQ673083.1	Lb	Peru
OQ673082.1	Lb	Peru
OQ673081.1	Lb	Peru
OQ673080.1	Lb	Peru
OQ673079.1	Lb	Peru
OQ673078.1	Lb	Peru
OQ673077.1	Lb	Peru
OQ673076.1	Lb	Peru
OQ673075.1	Lb	Peru
OQ673074.1	Lb	Peru
OQ673073.1	Lb	Peru
KX808485.1	Lb	Bolivia
OQ673072.1	Lb	Bolivia
OQ673071.1	Lb	Bolivia
OQ673070.1	Lb	Bolivia
OQ673100.1	Lb	Peru
KY750610.1	Lb	French Guiana
KY750624.1	Lg	French Guiana
KY750615.1	Lg	French Guiana
KY750613.1	Lg	French Guiana
KY750617.1	Lg	French Guiana
KY750612.1	Lg	French Guiana
KX686068.1	Lg	Brazil
KY750629.1	Lg	French Guiana
KX808487.1	Lg	Brazil
U01899.1	Lg	Brazil
KY750627.1	Lg	French Guiana
KY750625.1	Lg	French Guiana
KY750616.1	Lg	French Guiana
KY750611.1	Lg	French Guiana
KY750620.1	Lg	French Guiana
KY750619.1	Lg	French Guiana
KY750614.1	Lg	French Guiana
KY750630.1	Lg	French Guiana
KY750622.1	Lg	French Guiana
KY750621.1	Lg	French Guiana
KY750628.1	Lg	French Guiana
KY750618.1	Lg	French Guiana
KY750626.1	Lg	French Guiana
KY750623.1	Lg	French Guiana
KY750609.1	Lg	French Guiana
M92355.1	Lg	Suriname
KY750608.1	Lg	French Guiana
