Nhomo;Nhetero;Analysis Code;Species;sp_cols;pch
1723;1446;012-2023;Lb1;#223A50;16
1736;1540;013-2023;Lb1;#223A50;16
1677;1560;018-2023;Lb1;#223A50;16
5091;669;IOCL1105;Lg;#80803E;16
3926;1658;IOCL2371;Lg;#80803E;16
4727;940;IOCL2391;Lg;#80803E;16
5116;360;IOCL2407;Lg;#80803E;16
1837;1358;IOCL2495;Lb1;#223A50;16
1824;1285;IOCL2499;Lb1;#223A50;16
4125;1313;IOCL2957;Lg;#80803E;16
5405;780;IOCL3305;Lg;#80803E;16
5126;628;IOCL3357;Lg;#80803E;16
5255;853;IOCL3371;Lg;#80803E;16
5148;430;IOCL3461;Lg;#80803E;16
4446;966;IOCL3466;Lg;#80803E;16
1794;1507;IOCL3473;Lb1;#223A50;16
5150;671;IOCL3486;Lg;#80803E;16
4891;649;IOCL3503;Lg;#80803E;16
22411;4897;IOCL3515;Ln;#EFA575;16
26373;888;IOCL3516;Ln;#EFA575;16
26388;859;IOCL3519;Ln;#EFA575;16
26402;852;IOCL3520;Ln;#EFA575;16
2113;12960;IOCL3539;Hybrid;#04050A;18
1619;1896;IOCL3540;Lb1;#223A50;16
4448;1117;IOCL3542;Lg;#80803E;16
1706;1730;IOCL3545;Lb1;#223A50;16
1813;1456;IOCL3548;Lb1;#223A50;16
1578;1586;IOCL3570;Lb1;#223A50;16
1744;1472;IOCL3571;Lb1;#223A50;16
4220;25533;IOCL3574;Hybrid;#04050A;18
4955;1053;IOCL3623;Lg;#80803E;16
1681;1664;IOCL3637;Lb1;#223A50;16
5335;1317;IOCL3640;Lg;#80803E;16
4947;1146;IOCL3643;Lg;#80803E;16
4640;883;IOCL3656;Lg;#80803E;16
5351;1189;IOCL3745;Lg;#80803E;16
1938;2014;Lb-7529;Lb1;#223A50;10
1937;2046;Lb-7740;Lb1;#223A50;10
1958;1581;Lb-7933;Lb1;#223A50;10
60;4373;Lb-8025;Lb1;#223A50;10
2197;1976;Lb-8102;Lb1;#223A50;10
1885;1676;Lb-CUM138;Lb1;#223A50;10
1956;1583;Lb-CUM29;Lb1;#223A50;10
1954;1595;Lb-CUM41;Lb1;#223A50;10
1111;1981;Lb-ESP2;Lb1;#223A50;10
1971;1549;Lb-LC1565;Lb1;#223A50;10
1878;1709;Lb-LC1569;Lb1;#223A50;10
1929;1568;Lb-LC2141;Lb1;#223A50;10
1287;1642;Lb-NC;Lb1;#223A50;10
2016;1444;Lb-PER012;Lb1;#223A50;10
1987;1707;Lb-PER016;Lb1;#223A50;10
1833;1758;Lb-PER065;Lb1;#223A50;10
2068;1604;Lb-PER094;Lb1;#223A50;10
1756;1517;Lb-RO393;Lb1;#223A50;10
7234;1203;Lb2-CUM555;Lb2;#38545F;10
7234;1204;Lb2-CUM663;Lb2;#38545F;10
4175;44;Lb3-HBO;Lb3;#4B6358;10
4182;25;Lb3-LIS;Lb3;#4B6358;10
9445;3298;Lb4-7616;Lb4;#62714B;10
11579;211;Lb4-7864;Lb4;#62714B;10
5479;526;Lg-204-365;Lg;#80803E;10
5436;687;Lg-M4147;Lg;#80803E;10
6067;69;Lg-S8104;Lg;#80803E;10
61855;6196;Lla-216-34;Lla;#A99139;10
25654;2558;Ln-CL223;Ln;#EFA575;10
26409;4478;Ln-HOMI-81;Ln;#EFA575;10
26110;2173;Ln-M5533;Ln;#EFA575;10
7504;84;Lpa-CL085;Lpa;#FAAFA1;10
7425;83;Lpa-PSC1;Lpa;#FAAFA1;10
7412;39;Lpa-S7762;Lpa;#FAAFA1;10
7294;302;Lpa-S7842;Lpa;#FAAFA1;10
7251;348;Lpa-S8036;Lpa;#FAAFA1;10
7384;67;Lpa-S8046;Lpa;#FAAFA1;10
7402;106;Lpa-S8049;Lpa;#FAAFA1;10
7345;231;Lpa-S8056;Lpa;#FAAFA1;10
7491;57;Lpa-S8061;Lpa;#FAAFA1;10
7305;357;Lpa-S8087;Lpa;#FAAFA1;10
7297;335;Lpa-S8117;Lpa;#FAAFA1;10
7414;76;Lpa-S8124;Lpa;#FAAFA1;10
7381;99;Lpa-S8136;Lpa;#FAAFA1;10
7375;178;Lpa-WR120;Lpa;#FAAFA1;10
3731;21;Lpe-HB83;Lpe;#FDBCCB;10
3668;13;Lpe-LCA04;Lpe;#FDBCCB;10
6985;771;Lsh-M8408;Lsh;#F9CCF9;10
