LeishTIPname	VirusTIPname
IOCL3519	IOCL3519-Ln-2013
IOCL3371	IOCL3371-Lg-2011
013-2023	013-2023-Lb-2018
IOCL3539	IOCL3539-Lg-2014
IOCL3637	IOCL3637-Lb-2015
IOCL3461	IOCL3461-Lg-2013
Lma-44T9	MZ926705-1
IOCL2391	IOCL2391-Lg-1997
IOCL3357	IOCL3357-Lg-2011
IOCL2407	IOCL2407-Lg-1997
IOCL3486	IOCL3486-Lg-2013
IOCL3520	IOCL3520-Ln-2013
IOCL3656	IOCL3656-Lg-2017
Lta-LV108	OR192167-1
IOCL2371	IOCL2371-Lg-1997
IOCL3466	IOCL3466-Lg-2013
Lad-LV30	OR192166-1
IOCL3643	IOCL3643-Lg-2014
IOCL2957	IOCL2957-Lg-2007
IOCL2495	IOCL2495-Lb-2002
IOCL3305	IOCL3305-Lg-2011
Lma-37ch	MZ926703-1
IOCL3503	IOCL3503-Lg-2013
IOCL3574	IOCL3574-Ln-2015
Lma-3T	MZ926704-1
IOCL2499	IOCL2499-Lb-2002
IOCL3516	IOCL3516-Ln-2013
IOCL3623	IOCL3623-Lg-2016
Lma-29ch	MZ926701-1
IOCL3548	IOCL3548-Lb-2014
IOCL3473	IOCL3473-Lb-2012
IOCL3545	IOCL3545-Lb-2014
Lb-LC2284	OQ673095-1
Lb-PER012	OQ673076-1
Lb-CUM68	OQ673086-1
Lb-PER016	OQ673082-1
Lb-PER207	OQ673098-1
Lb-PER130	OQ673079-1
Lb-LC2318	OQ673074-1
Lb-LC2319	OQ673085-1
Lb-PER014	OQ673080-1
Lb-CUM24	OQ673070-1
Lb-PER186	OQ673078-1
Lb-PER065	OQ673077-1
Lb-PER201	OQ673100-1
Lb-LC2176	OQ673094-1
Lb-LH825	OQ673083-1
Lb-CUM41	OQ673071-1
Lb-PER069	OQ673090-1
Lb-PER067	OQ673081-1
Lb-PER212	OQ673099-1
Lb-PER002	OQ673097-1
Lb-PER010	OQ673075-1
