;IOCL3519-Ln-2013;IOCL3371-Lg-2011;013-2023-Lb-2018;IOCL3637-Lb-2015;IOCL3461-Lg-2013;IOCL2391-Lg-1997;IOCL3357-Lg-2011;IOCL2407-Lg-1997;IOCL3486-Lg-2013;IOCL3520-Ln-2013;IOCL3656-Lg-2017;IOCL2371-Lg-1997;IOCL3466-Lg-2013;IOCL3643-Lg-2014;IOCL2957-Lg-2007;IOCL2495-Lb-2002;IOCL3305-Lg-2011;IOCL3503-Lg-2013;IOCL2499-Lb-2002;IOCL3516-Ln-2013;IOCL3623-Lg-2016;IOCL3548-Lb-2014;IOCL3473-Lb-2012;IOCL3545-Lb-2014;OQ673095.1;OQ673076.1;OQ673086.1;OQ673082.1;OQ673098.1;OQ673079.1;OQ673074.1;OQ673085.1;OQ673080.1;OQ673070.1;OQ673078.1;OQ673077.1;OQ673100.1;OQ673094.1;OQ673083.1;OQ673071.1;OQ673090.1;OQ673081.1;OQ673099.1;OQ673097.1;OQ673075.1
IOCL3519;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IOCL3371;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
013-2023;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IOCL3637;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IOCL3461;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IOCL2391;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IOCL3357;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IOCL2407;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IOCL3486;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IOCL3520;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
