LeishTIPname	VirusTIPname
IOCL3519	IOCL3519-Ln-2013
IOCL3371	IOCL3371-Lg-2011
013-2023	013-2023-Lb-2018
IOCL3539	IOCL3539-Lg-2014
IOCL3637	IOCL3637-Lb-2015
IOCL3461	IOCL3461-Lg-2013
IOCL2391	IOCL2391-Lg-1997
IOCL3357	IOCL3357-Lg-2011
IOCL2407	IOCL2407-Lg-1997
IOCL3486	IOCL3486-Lg-2013
IOCL3520	IOCL3520-Ln-2013
IOCL3656	IOCL3656-Lg-2017
IOCL2371	IOCL2371-Lg-1997
IOCL3466	IOCL3466-Lg-2013
IOCL3643	IOCL3643-Lg-2014
IOCL2957	IOCL2957-Lg-2007
IOCL2495	IOCL2495-Lb-2002
IOCL3305	IOCL3305-Lg-2011
IOCL3503	IOCL3503-Lg-2013
IOCL3574	IOCL3574-Ln-2015
IOCL2499	IOCL2499-Lb-2002
IOCL3516	IOCL3516-Ln-2013
IOCL3623	IOCL3623-Lg-2016
IOCL3548	IOCL3548-Lb-2014
IOCL3473	IOCL3473-Lb-2012
IOCL3545	IOCL3545-Lb-2014
LC2284	OQ673095-1
PER012	OQ673076-1
CUM68	OQ673086-1
PER016	OQ673082-1
PER207	OQ673098-1
PER130	OQ673079-1
LC2318	OQ673074-1
LC2319	OQ673085-1
PER014	OQ673080-1
CUM24	OQ673070-1
PER186	OQ673078-1
PER065	OQ673077-1
PER201	OQ673100-1
LC2176	OQ673094-1
LH825	OQ673083-1
CUM41	OQ673071-1
PER069	OQ673090-1
PER067	OQ673081-1
PER212	OQ673099-1
PER002	OQ673097-1
PER010	OQ673075-1
